date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:40	980/980	---M--	200	added ('OK')	image/svg+xml	etag:%225f181013-3d4%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/11.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/11.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:40	1179/1179	---M--	200	added ('OK')	image/svg+xml	etag:%225f181013-49b%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/12.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/12.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:40	1002/1002	---M--	200	added ('OK')	image/svg+xml	etag:%225f181014-3ea%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/13.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/13.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:40	1186/1186	---M--	200	added ('OK')	image/svg+xml	etag:%225f181014-4a2%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/14.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/14.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:41	940/940	---M--	200	added ('OK')	image/svg+xml	etag:%225f181015-3ac%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/15.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/15.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:41	4083/4083	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181015-ff3%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/16.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/16.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:41	964/964	---M--	200	added ('OK')	image/svg+xml	etag:%225f181015-3c4%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/17.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/17.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:41	1492/1492	---M--	200	added ('OK')	image/svg+xml	etag:%225f181016-5d4%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/18.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/18.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:42	1167/1167	---M--	200	added ('OK')	image/svg+xml	etag:%225f181016-48f%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/19.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/19.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:42	1497/1497	---M--	200	added ('OK')	image/svg+xml	etag:%225f181016-5d9%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/20.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/20.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
